run	study	input_ng	arm	vaf	target_depth	replicate	enzyme	reads	barcodes	molecules	amplicons	amplicon_share	molecules_per_amplicon	reads_per_molecule	barcode_error	barcode_phred	saturated	payload_clonality	mean_consensus_phred	groups_split	genome_equivalents	molecules_per_geq	variant_molecules	p_enough	label	panel_amplicons
SRR17220954	PRJNA788522	5	0.25	0.0025	10.0	1		1610392	58678	43036	5	0.6047	8607	37.42	0.001119	29.51	0	0.0926	32.62	884	1515	5.68	21.52	1.0	5ng_0.25_10x_rep_1	5
SRR17220953	PRJNA788522	5	0.25	0.0025	10.0	2		600771	29509	22443	5	0.685	4489	26.77	0.00121	29.17	0	0.1046	35.1	88	1515	2.96	11.22	0.999	5ng_0.25_10x_rep_2	5
SRR17220952	PRJNA788522	5	0.25	0.0025	10.0	3		518148	29470	23012	5	0.7068	4602	22.52	0.001337	28.74	0	0.11565	34.29	96	1515	3.04	11.51	0.9992	5ng_0.25_10x_rep_3	5
SRR17220938	PRJNA788522	5	0.25	0.0025	3.3	1		221817	19006	15976	5	0.7243	3195	13.88	0.001479	28.3	0	0.1165	35.58	22	1515	2.11	7.99	0.9861	5ng_0.25_3.3x_rep_1	5
SRR17220927	PRJNA788522	5	0.25	0.0025	3.3	2		158235	16529	14267	5	0.7351	2853	11.09	0.001632	27.87	0	0.11685	36.03	18	1515	1.88	7.13	0.9732	5ng_0.25_3.3x_rep_2	5
SRR17220916	PRJNA788522	5	0.25	0.0025	3.3	3		167247	16227	13946	5	0.7429	2789	11.99	0.001465	28.34	0	0.1207	36.33	17	1515	1.84	6.97	0.9698	5ng_0.25_3.3x_rep_3	5
SRR17220951	PRJNA788522	5	1	0.01	10.0	1		562039	29243	22396	5	0.686	4479	25.1	0.001214	29.16	0	0.1144	34.63	90	1515	2.96	44.79	1.0	5ng_1_10x_rep_1	5
SRR17220950	PRJNA788522	5	1	0.01	10.0	2		466661	25293	19607	5	0.6611	3921	23.8	0.001254	29.02	0	0.10835	35.03	53	1515	2.59	39.21	1.0	5ng_1_10x_rep_2	5
SRR17220948	PRJNA788522	5	1	0.01	10.0	3		475349	26041	19936	5	0.6896	3987	23.84	0.001289	28.9	0	0.1138	34.88	87	1515	2.63	39.87	1.0	5ng_1_10x_rep_3	5
SRR17220905	PRJNA788522	5	1	0.01	3.3	1		150920	15329	13250	5	0.7578	2650	11.39	0.001549	28.1	0	0.12635	36.34	13	1515	1.75	26.5	1.0	5ng_1_3.3x_rep_1	5
SRR17220894	PRJNA788522	5	1	0.01	3.3	2		151503	16659	14577	5	0.7329	2915	10.39	0.001426	28.46	0	0.11855	35.75	8	1515	1.92	29.15	1.0	5ng_1_3.3x_rep_2	5
SRR17220891	PRJNA788522	5	1	0.01	3.3	3		201099	18268	15501	5	0.707	3100	12.97	0.001456	28.37	0	0.1098	35.19	28	1515	2.05	31.0	1.0	5ng_1_3.3x_rep_3	5
SRR17220908	PRJNA788522	5	cell_line	None	10.0	1		283609	21856	18543	4	0.5591	3709	15.29	0.002471	26.07	0	0.0957	36.48	143	1515	3.06			5ng_cell_line_10x_rep_1	5
SRR17220907	PRJNA788522	5	cell_line	None	10.0	2		366032	28796	24623	4	0.6098	4925	14.87	0.001403	28.53	0	0.14475	36.7	123	1515	4.06			5ng_cell_line_10x_rep_2	5
SRR17220906	PRJNA788522	5	cell_line	None	10.0	3		263990	28483	25218	3	0.5523	5044	10.47	0.001588	27.99	0	0.14075	36.13	110	1515	5.55			5ng_cell_line_10x_rep_3	5
SRR17220918	PRJNA788522	5	cell_line	None	3.3	1		78873	17017	14796	3	0.5007	2959	5.33	0.011663	19.33	0	0.09615	34.77	35	1515	3.26			5ng_cell_line_3.3x_rep_1	5
SRR17220917	PRJNA788522	5	cell_line	None	3.3	2		73909	15472	13786	3	0.5765	2757	5.36	0.007737	21.11	0	0.1343	36.87	40	1515	3.03			5ng_cell_line_3.3x_rep_2	5
SRR17220915	PRJNA788522	5	cell_line	None	3.3	3		76614	17445	15793	3	0.5716	3159	4.85	0.007296	21.37	0	0.1479	36.5	46	1515	3.47			5ng_cell_line_3.3x_rep_3	5
SRR17220898	PRJNA788522	5	cell_line	None	30.0	1		631120	38302	31285	4	0.5402	6257	20.17	0.001325	28.78	0	0.095	34.8	262	1515	5.16			5ng_cell_line_30x_rep_1	5
SRR17220897	PRJNA788522	5	cell_line	None	30.0	2		580942	39656	33594	4	0.6006	6719	17.29	0.001152	29.38	0	0.14415	36.04	213	1515	5.54			5ng_cell_line_30x_rep_2	5
SRR17220896	PRJNA788522	5	cell_line	None	30.0	3		693304	42053	35085	4	0.5879	7017	19.76	0.001101	29.58	0	0.131	35.54	244	1515	5.79			5ng_cell_line_30x_rep_3	5
SRR17220901	PRJNA788522	80	cell_line	None	10.0	1		1466795	150977	140055	5	0.8205	28011	10.47	0.000693	31.59	0	0.1856	36.76	226	24242	1.16			80ng_cell_line_10x_rep_1	5
SRR17220900	PRJNA788522	80	cell_line	None	10.0	2		1504451	141037	129998	5	0.8182	26000	11.57	0.000714	31.46	0	0.1814	36.76	242	24242	1.07			80ng_cell_line_10x_rep_2	5
SRR17220899	PRJNA788522	80	cell_line	None	10.0	3		1524526	143121	131840	5	0.7964	26368	11.56	0.000736	31.33	0	0.1703	36.16	277	24242	1.09			80ng_cell_line_10x_rep_3	5
SRR17220911	PRJNA788522	80	cell_line	None	3.3	1		566823	96069	91673	5	0.8213	18335	6.18	0.000959	30.18	0	0.19215	37.02	61	24242	0.76			80ng_cell_line_3.3x_rep_1	5
SRR17220910	PRJNA788522	80	cell_line	None	3.3	2		557450	101025	96557	5	0.8459	19311	5.77	0.001157	29.37	0	0.19625	37.53	62	24242	0.8			80ng_cell_line_3.3x_rep_2	5
SRR17220909	PRJNA788522	80	cell_line	None	3.3	3		621788	105810	101419	5	0.8494	20284	6.13	0.001024	29.9	0	0.1962	37.58	69	24242	0.84			80ng_cell_line_3.3x_rep_3	5
SRR8255844	PRJNA507366		WT	0.0		1	Accuprime	2184057	279280	263296	3	0.9008	87765	8.3	0.000745	31.28	0	0.34975	36.64	383	0		0.0	0.0	Accuprime1|Wildtype	3
