parent_reads	parents	child_barcodes	child_reads	children_per_parent	reads_per_parent	neighbours	error_from_variants	error_from_reads	phred_from_reads	estimate
86	1	5	5	5.000000	5.000000	78.0	2.311025e-03	2.236136e-03	26.51	1.491766e-03
87	3	11	12	3.666667	4.000000	78.0	1.660322e-03	1.768347e-03	27.52	1.491766e-03
89	2	5	5	2.500000	2.500000	78.0	1.098073e-03	1.080380e-03	29.66	1.491766e-03
90	4	15	15	3.750000	3.750000	78.0	1.642368e-03	1.602564e-03	27.95	1.491766e-03
92	1	3	3	3.000000	3.000000	78.0	1.278936e-03	1.254181e-03	29.02	1.491766e-03
94	1	3	3	3.000000	3.000000	78.0	1.251725e-03	1.227496e-03	29.11	1.491766e-03
95	1	2	2	2.000000	2.000000	78.0	8.202785e-04	8.097166e-04	30.92	1.491766e-03
96	2	17	17	8.500000	8.500000	78.0	3.605690e-03	3.405449e-03	24.68	1.491766e-03
97	1	4	4	4.000000	4.000000	78.0	1.628157e-03	1.586043e-03	28.00	1.491766e-03
98	1	4	4	4.000000	4.000000	78.0	1.611543e-03	1.569859e-03	28.04	1.491766e-03
101	2	8	9	4.000000	4.500000	78.0	1.563675e-03	1.713633e-03	27.66	1.491766e-03
103	3	7	7	2.333333	2.333333	78.0	8.845951e-04	8.712970e-04	30.60	1.491766e-03
104	1	1	1	1.000000	1.000000	78.0	3.722136e-04	3.698225e-04	34.32	1.491766e-03
106	1	4	4	4.000000	4.000000	78.0	1.489917e-03	1.451379e-03	28.38	1.491766e-03
108	2	8	8	4.000000	4.000000	78.0	1.462326e-03	1.424501e-03	28.46	1.491766e-03
110	1	3	3	3.000000	3.000000	78.0	1.069656e-03	1.048951e-03	29.79	1.491766e-03
111	1	6	7	6.000000	7.000000	78.0	2.163316e-03	2.425502e-03	26.15	1.491766e-03
112	1	3	3	3.000000	3.000000	78.0	1.050555e-03	1.030220e-03	29.87	1.491766e-03
113	1	2	2	2.000000	2.000000	78.0	6.896147e-04	6.807352e-04	31.67	1.491766e-03
117	1	5	5	5.000000	5.000000	78.0	1.698702e-03	1.643655e-03	27.84	1.491766e-03
118	1	5	5	5.000000	5.000000	78.0	1.684306e-03	1.629726e-03	27.88	1.491766e-03
119	1	0	0	0.000000	0.000000	78.0	0.000000e+00	0.000000e+00	.	1.491766e-03
120	2	9	9	4.500000	4.500000	78.0	1.485586e-03	1.442308e-03	28.41	1.491766e-03
124	1	6	6	6.000000	6.000000	78.0	1.936517e-03	1.861042e-03	27.30	1.491766e-03
125	1	4	4	4.000000	4.000000	78.0	1.263450e-03	1.230769e-03	29.10	1.491766e-03
127	1	4	4	4.000000	4.000000	78.0	1.243553e-03	1.211387e-03	29.17	1.491766e-03
128	1	3	3	3.000000	3.000000	78.0	9.192355e-04	9.014423e-04	30.45	1.491766e-03
130	1	5	5	5.000000	5.000000	78.0	1.528832e-03	1.479290e-03	28.30	1.491766e-03
132	1	5	5	5.000000	5.000000	78.0	1.505668e-03	1.456876e-03	28.37	1.491766e-03
139	3	13	13	4.333333	4.333333	78.0	1.233635e-03	1.199041e-03	29.21	1.491766e-03
153	2	8	8	4.000000	4.000000	78.0	1.032230e-03	1.005530e-03	29.98	1.491766e-03
155	1	7	7	7.000000	7.000000	78.0	1.819915e-03	1.736973e-03	27.60	1.491766e-03
156	1	6	6	6.000000	6.000000	78.0	1.539283e-03	1.479290e-03	28.30	1.491766e-03
158	1	8	9	8.000000	9.000000	78.0	2.054688e-03	2.190847e-03	26.59	1.491766e-03
163	1	7	8	7.000000	8.000000	78.0	1.730594e-03	1.887683e-03	27.24	1.491766e-03
164	1	4	5	4.000000	5.000000	78.0	9.629951e-04	1.172608e-03	29.31	1.491766e-03
166	1	7	8	7.000000	8.000000	78.0	1.699318e-03	1.853568e-03	27.32	1.491766e-03
167	1	4	4	4.000000	4.000000	78.0	9.456958e-04	9.212345e-04	30.36	1.491766e-03
179	1	7	8	7.000000	8.000000	78.0	1.575904e-03	1.718951e-03	27.65	1.491766e-03
181	1	9	9	9.000000	9.000000	78.0	2.032083e-03	1.912452e-03	27.18	1.491766e-03
189	1	10	10	10.000000	10.000000	78.0	2.177796e-03	2.035002e-03	26.91	1.491766e-03
194	1	9	10	9.000000	10.000000	78.0	1.895912e-03	1.982554e-03	27.03	1.491766e-03
197	1	14	14	14.000000	14.000000	78.0	3.012575e-03	2.733307e-03	25.63	1.491766e-03
198	1	6	7	6.000000	7.000000	78.0	1.212768e-03	1.359751e-03	28.67	1.491766e-03
202	1	6	6	6.000000	6.000000	78.0	1.188753e-03	1.142422e-03	29.42	1.491766e-03
209	1	9	9	9.000000	9.000000	78.0	1.759842e-03	1.656238e-03	27.81	1.491766e-03
214	1	6	6	6.000000	6.000000	78.0	1.122094e-03	1.078361e-03	29.67	1.491766e-03
235	1	7	7	7.000000	7.000000	78.0	1.200370e-03	1.145663e-03	29.41	1.491766e-03
240	1	11	11	11.000000	11.000000	78.0	1.900203e-03	1.762821e-03	27.54	1.491766e-03
241	1	8	8	8.000000	8.000000	78.0	1.347057e-03	1.276732e-03	28.94	1.491766e-03
289	1	10	10	10.000000	10.000000	78.0	1.424233e-03	1.330849e-03	28.76	1.491766e-03
317	1	11	11	11.000000	11.000000	78.0	1.438639e-03	1.334628e-03	28.75	1.491766e-03
328	1	10	10	10.000000	10.000000	78.0	1.254888e-03	1.172608e-03	29.31	1.491766e-03
332	1	9	9	9.000000	9.000000	78.0	1.107852e-03	1.042632e-03	29.82	1.491766e-03
341	1	18	18	18.000000	18.000000	78.0	2.308190e-03	2.030228e-03	26.92	1.491766e-03
389	1	12	12	12.000000	12.000000	78.0	1.288335e-03	1.186474e-03	29.26	1.491766e-03
408	1	15	16	15.000000	16.000000	78.0	1.570398e-03	1.508296e-03	28.22	1.491766e-03
418	1	17	21	17.000000	21.000000	78.0	1.764366e-03	1.932278e-03	27.14	1.491766e-03
425	1	14	14	14.000000	14.000000	78.0	1.396417e-03	1.266968e-03	28.97	1.491766e-03
445	1	10	11	10.000000	11.000000	78.0	9.249514e-04	9.507347e-04	30.22	1.491766e-03
451	1	17	19	17.000000	19.000000	78.0	1.635266e-03	1.620331e-03	27.90	1.491766e-03
476	1	18	19	18.000000	19.000000	78.0	1.653556e-03	1.535229e-03	28.14	1.491766e-03
492	1	7	9	7.000000	9.000000	78.0	5.733473e-04	7.035647e-04	31.53	1.491766e-03
513	1	20	21	20.000000	21.000000	78.0	1.732549e-03	1.574449e-03	28.03	1.491766e-03
532	1	19	20	19.000000	20.000000	78.0	1.574275e-03	1.445922e-03	28.40	1.491766e-03
535	1	20	24	20.000000	24.000000	78.0	1.661304e-03	1.725377e-03	27.63	1.491766e-03
603	1	25	28	25.000000	28.000000	78.0	1.922472e-03	1.785942e-03	27.48	1.491766e-03
604	1	14	17	14.000000	17.000000	78.0	9.825782e-04	1.082527e-03	29.66	1.491766e-03
745	1	16	19	16.000000	19.000000	78.0	9.244608e-04	9.808983e-04	30.08	1.491766e-03
863	1	25	27	25.000000	27.000000	78.0	1.343280e-03	1.203316e-03	29.20	1.491766e-03
891	1	31	42	31.000000	42.000000	78.0	1.705593e-03	1.813002e-03	27.42	1.491766e-03
1031	1	31	41	31.000000	41.000000	78.0	1.473990e-03	1.529508e-03	28.15	1.491766e-03
1251	1	40	59	40.000000	59.000000	78.0	1.724515e-03	1.813933e-03	27.41	1.491766e-03
1262	1	36	44	36.000000	44.000000	78.0	1.471567e-03	1.340973e-03	28.73	1.491766e-03
1510	1	45	58	45.000000	58.000000	78.0	1.709009e-03	1.477331e-03	28.31	1.491766e-03
1991	1	53	85	53.000000	85.000000	78.0	1.714465e-03	1.642004e-03	27.85	1.491766e-03
2788	1	65	108	65.000000	108.000000	78.0	1.928005e-03	1.489902e-03	28.27	1.491766e-03
18584	1	90	750	90.000000	750.000000	78.0	.	1.552204e-03	28.09	1.491766e-03
